Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,Clave de municipio
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,94,Teopisca,3,Perennes,2,Temporal,200201,Tonelada,7580000,Manzana,49.0,46.0,0.0,115.0,2.5,5000.0,575000.0,7094.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,94,Teopisca,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,127.0,127.0,0.0,698.5,5.5,1200.0,838200.0,7094.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,94,Teopisca,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,9.0,9.0,0.0,108.0,12.0,1100.0,118800.0,7094.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,94,Teopisca,3,Perennes,2,Temporal,200201,Tonelada,8930000,Tejocote,5.0,5.0,0.0,15.0,3.0,1000.0,15000.0,7094.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,25.0,25.0,0.0,75.0,3.0,2000.0,150000.0,7111.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,2,Primavera-Verano,2,Temporal,200201,Tonelada,6310000,Col (repollo),25.0,25.0,0.0,500.0,20.0,1200.0,600000.0,7111.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,104.1,104.1,0.0,36.44,0.35,7500.0,273300.0,7111.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,9233.9,9233.9,0.0,10297.58,1.12,2000.0,20595160.0,7111.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,2,Primavera-Verano,2,Temporal,200201,Tonelada,8100000,Papa,12.0,12.0,0.0,180.0,15.0,1700.0,306000.0,7111.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,3,Perennes,2,Temporal,200201,Tonelada,6220000,Ciruela,35.0,32.0,0.0,128.0,4.0,3500.0,448000.0,7111.0
2003,7,Chiapas,19,San Cristóbal de las Casas,1,San Cristóbal de Las Casas,111,Zinacantán,3,Perennes,2,Temporal,200201,Tonelada,6530000,Durazno,257.0,247.0,0.0,988.0,4.0,3500.0,3458000.0,7111.0
